age,med,sd
19,7598.2689999999993,22.317500000000109
20,12090.588,161.48099999999977
21,27419.964,75.225500000000466
22,15113.234999999999,201.50979999999981
23,9491.5259999999998,80.610499999999774
24,11841.939999999999,305.41020000000026
25,30226.469999999998,234.20349999999962
26,7065.9137999999994,72.210999999999331
27,22569.097599999997,271.22580000000016
28,23683.879999999997,205.85099999999875
29,1209.0588,289.62199999999939
30,27466.971599999997,216.72500000000036
31,21092.279999999999,263.11200000000099
32,10854.67,264.19499999999971
33,20497.739999999998,111.58749999999964
34,10765.4,111.58749999999964
35,30175.982599999999,269.32110000000102
36,43418.68,407.02275000000009
37,293.07608999999997,412.03136031527538
38,37991.345000000001,83.302999999999884
39,16148.099999999999,188.06374999999935
40,46403.015999999996,260.06999999999971
41,24965.740999999998,239.14589231349237
42,35820.411,445.90500000000065
43,89642.190000000002,445.90500000000065
44,53827.0,101.4455999999991
45,27419.964,223.42859999999928
46,14131.827599999999,133.90500000000065
47,36602.360000000001,72.430599999999686
48,43045.254000000001,116.1869999999999
49,84369.119999999995,342.55349999999999
50,91179.228000000003,116.1869999999999
51,21092.279999999999,372.40875000000051
52,51244.349999999999,333.72362965759567
53,43045.254000000001,339.85299999999916
54,13098.136999999999,116.1869999999999
55,3997.0592999999999,116.1869999999999
56,11273.757,153.18207172826624
57,23879.867099999999,28.91504999999961
58,56422.743999999999,301.57400000000052
59,21158.528999999999,445.90500000000065
60,41868.175799999997,271.05983713249589
61,36254.597799999996,178.66799999999967
62,32564.009999999998,542.73350000000028
63,3582.0410999999999,430.61599999999999
64,80603.919999999998,394.6060499999985
65,36895.932000000001,531.97439999999915
66,10075.49,503.77449999999953
